ENSEMBL_ID,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
ENSG00000088387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.5062013690007,1.0
ENSG00000169508,242.681650270207,77.6293245651918,112.262381946033,394.798611622644,118.404095004703,75.4915214684846,169.801710158654,115.343405352715,101.208543899251,158.07391218033,13.9550449554459,28.5372720968723,12.9574741688032,45.1433994633,94.6445878360003,25.1866515353774,19.0275586818604,107.513502245252,59.4895399307921,54.9829110391544,183.921602547291,62.1687138900602,40.4959752192382,45.2473222902395,25.0988594983598,131.951096041921,27.3754399080597,11.7757783161425,32.6471282195601,24.5362987664548,31.8809724373821,77.1388587148406
ENSG00000125247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.5300525606528,1.0,1.0,10.949472993317,27.4065943733293
ENSG00000134897,1.0,1.0,1.0,39.3971182587903,1.0,1.0,1.0,60.5240956209654,1.0,1.0,1.0,32.410689836119,1.0,28.2377838083341,13.3403100033698,65.7502112317526,1.0,1.0,13.8228335245317,37.7033019376586,40.1666935967244,25.48366250881,52.7908914286116,22.3565844753634,51.4058792280591,1.0,31.4522163940966,36.4856213502466,69.4878075529943,55.8429591109476,17.8333496541099,89.2704507500097
ENSG00000134899,1.0,1.0,1.0,128.455829015922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.5159387079703,1.0,1.0,1.0,28.4291205814543,1.0,1.0,85.8964829118939,1.0,16.0686167384667,22.4167017209655,1.0,1.0,1.0,1.0,1.0,25.8643347250611,11.2062194291833,16.1660146473901
ENSG00000125266,1.0,1.0,1.0,11.5238168349586,1.0,1.0,1.0,14.5765507591896,1.0,1.0,1.0,71.8403008169414,1.0,1.0,1.0,1.0,1.0,21.6712935336511,1.0,18.1902725784268,1.0,1.0,1.0,1.0,1.0,20.532298777418,1.0,1.0,1.0,1.0,10.4359801215842,35.2451416307342
ENSG00000102524,1.0,107.390394013312,64.2620668242798,37.0834969858367,40.4842206221404,54.1847779700257,64.2011696609473,73.6089123879119,82.2302621500436,96.4597128798501,1.0,19.9554512776028,1.0,97.6827890362449,11.8884145997436,97.874299410254,1.0,68.7690832841244,14.3688792393474,23.7208434305993,78.2987890234221,1.0,19.084940763635,1.0,1.0,54.7236032012642,72.1825389507475,55.672108632921,20.8010248811043,125.392060878385,86.0007451594186,26.7111459560718
ENSG00000139832,13.4102541290517,1.0,1.0,20.4564347367657,105.157581181596,1.0,44.008258424312,43.8326940082803,45.2017550913718,39.7285885876233,1.0,14.7475104359558,1.0,87.6076251312014,15.5336418870432,100.893624609915,1.0,38.361274559638,79.2127300531394,67.8810289574927,1.0,51.1741666967102,50.803047214311,1.0,1.0,41.3844366994374,1.0,45.7002991792748,17.7079236088272,118.334285881351,80.9807165623107,80.7528745573433
ENSG00000126216,1.0,1.0,1.0,28.211451898598,1.0,1.0,47.6344310366486,1.0,57.3274177166179,54.2333724747068,1.0,40.0358448006466,1.0,32.4243121256804,1.0,65.6255524953796,1.0,1.0,1.0,39.1337566690667,1.0,1.0,18.2837214282422,29.9814942178366,1.0,1.0,1.0,39.7923201246277,1.0,31.5710239719029,138.854383023813,35.3239634917378
ENSG00000150401,1.0,1.0,1.0,32.8198135532212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.1691655122744,1.0,18.5134647297837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.1649155947758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000185989,1.0,1.0,1.0,137.996402538999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.8689307702324,1.0,1.0,1.0,1.0,1.0,27.8882416124162,35.8108301657998,1.0,26.7857455576427,30.7037071350535,1.0,1.0,1.0,1.0,1.0,1.0,55.5921240131806,47.581680472538
ENSG00000136319,1.0,1.0,1.0,54.67339955954,1.0,1.0,1.0,61.0174507532594,1.0,1.0,1.0,113.482704419871,1.0,42.5121570797636,90.8149701984788,1.0,37.4991483344828,1.0,1.0,42.4645348523982,1.0,1.0,62.4182477722469,40.1204825903875,1.0,1.0,1.0,38.4136217242737,1.0,58.4206879740042,17.0038611690032,41.1664195315961
ENSG00000129566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.8060528254107,1.0,1.0,1.0,1.0,1.0,1.0,45.3295988721344,1.0,1.0,30.0469415771792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.235894315927
