Hugo	Patient-01	Patient-02
ANKRD5	228.0	441.0
ANKRD6	158.29	356.74
ANKRD7	4.0	10.0
ANKRD9	399.0	182.0
ANKS1A	965.0	598.0
ANKS1B	3.0	3.0
ANKS3	959.0	242.0
ANKS4B	0.0	3.0
ANKS6	810.0	639.0
ANKZF1	1680.0	1019.0
ANLN	1248.0	16250.0
ANO10	948.0	921.0
ANO1	4108.0	10182.0
ANO2	36.0	16.0
ANO3	12.0	3.0
ANO4	41.0	50.0
ANO5	62.0	11.0
ANO6	1812.0	8347.0
ANO7	50.0	54.0
ANO8	212.0	85.0
ANO9	1426.0	420.0
ANP32A	4361.0	4032.0
ANP32B	6688.0	4579.0
ANP32C	11.0	7.0
ANP32D	0.0	0.0
ANP32E	2079.0	3319.0
ANPEP	1224.0	1144.0
ANTXR1	8403.0	5328.0
ANTXR2	1792.0	2885.0
ANTXRL	0.0	0.0
ANUBL1	130.0	111.0
ANXA10	2.0	61.0
ANXA11	11960.0	5248.0
ANXA13	58.0	4.0
ANXA1	35378.0	44280.0
ANXA2P1	1522.0	5305.0
ANXA2P2	37025.0	142882.0
ANXA2P3	474.0	523.0
ANXA2	64342.0	203944.0
ANXA3	3578.0	5346.0
ANXA4	4084.0	15124.0
ANXA5	12413.0	47862.0
ANXA6	8632.0	7892.0
ANXA7	4728.0	13511.0
ANXA8L1	49.21	17.03
ANXA8L2	7660.0	1832.0
ANXA8	32287.79	6539.97
ANXA9	59.0	59.0
AOAH	149.0	66.0
AOC2	28.0	14.0
AOC3	446.0	189.0
AOX1	72.0	267.0
AOX2P	0.0	0.0
AP1AR	368.0	2288.0
AP1B1	4029.0	6403.0
AP1G1	2366.0	5707.0
AP1G2	2814.11	1218.58
AP1M1	3426.0	2508.0
AP1M2	3017.0	2430.0
AP1S1	3388.0	3985.0
AP1S2	247.0	1808.0
AP1S3	362.0	5458.0
AP2A1	7256.52	3257.49
AP2A2	3423.0	1741.0
AP2B1	11230.0	16496.0
AP2M1	24418.0	25174.0
AP2S1	9024.0	12638.0
AP3B1	2111.0	1697.0
AP3B2	107.0	19.0
AP3D1	4110.0	2726.0
AP3M1	1828.0	2112.0
AP3M2	675.0	1095.0
AP3S1	2722.0	6312.0
AP3S2	3046.46	3684.21
AP4B1	853.49	1602.01
AP4E1	481.0	1078.0
AP4M1	875.28	954.0
AP4S1	104.0	551.0
APAF1	435.0	1620.0
APBA1	237.0	43.0
APBA2	1174.0	356.0
APBA3	624.0	884.0
APBB1IP	378.0	74.0
APBB1	553.0	197.0
APBB2	1373.0	1230.0
APBB3	649.0	220.0
APC2	25.15	51.36
APCDD1L	122.0	122.0
APCDD1	1583.0	2132.0
APCS	0.0	3.0
APC	604.0	718.0
APEH	2651.0	5795.0
APEX1	3468.0	13391.0
APEX2	1363.0	1954.0
APH1A	8100.0	18706.0
APH1B	333.0	1087.0
API5	2876.0	12794.0
APIP	287.49	1684.51
APITD1	535.82	1236.26
APLF	133.0	233.0
APLNR	1410.0	185.0
APLN	497.0	1529.0
APLP1	403.0	181.0
APLP2	19646.0	12518.0
APOA1BP	3633.0	16033.0
APOA1	8.0	85.0
APOA2	0.0	97.0
APOA4	1.0	72.0
APOA5	0.0	10.0
APOB48R	801.0	253.0
APOBEC1	0.0	0.0
APOBEC2	258.0	37.0
APOBEC3A	504.0	285.92
APOBEC3B	455.0	6809.08
APOBEC3C	584.0	2653.0
APOBEC3D	337.0	103.0
APOBEC3F	351.0	707.0
APOBEC3G	707.0	2787.0
APOBEC3H	19.0	69.0
APOBEC4	0.0	0.0
