,Cancer,predicted_label,ITH,MCE,Scent,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
TCGA-VS-A8EC-01,CESC,ECSC,1.92943446245236,0.872231460185671,0.967988817775647,0.0008679447290498,0.0,0.0,0.0,0.0,0.0,0.135196695154873,0.0,0.146126099342911,0.0,0.0,0.0163264491339222,0.0,0.0,0.0064327032017399,0.0,0.0927281535337933,0.0271370984517635,0.0241462189474085,0.0251702207961195,0.0,0.0,0.0200624092268063,0.0438513052273594,0.0892151966220832,0.0,0.0,0.0898252040462726,0.0,0.119018946049239,0.0246302882477718,0.139265067288887
TCGA-VS-A8EG-01,CESC,iPCSC,1.73140363024624,0.870963820557831,0.965896666654432,0.0,0.0,0.0046821235393161,0.0,0.0,0.0,0.310448139659078,0.0,0.0,0.0,0.0,0.008291296797896,0.0,0.0,0.0001137638070342,0.0,0.0577825722750515,0.0430561378338661,0.0375869691553101,0.0650009277098448,0.0,0.0,0.0329066887387302,0.0,0.121269272216895,0.0103299931356716,0.0,0.0346652977584935,0.0,0.139759697814338,0.0517358182561571,0.0823713013023174
TCGA-VS-A8EH-01,CESC,ECSC,1.83140657318725,0.869042639720419,0.965919545738186,0.0,0.0,0.0,0.0,0.0,0.0,0.351141688444858,0.0,0.0317248395677481,0.0,0.0,0.020948223918255,0.0,0.0,0.0105556652953323,0.0,0.0952889698439324,0.0225495700998085,0.0401530202041871,0.0319900588354111,0.0,0.0,0.0349139887322767,0.0,0.0802709428945355,0.0128961986514414,0.0,0.0407324834939277,0.0,0.118853003289784,0.0401186793094248,0.0678626674190773
TCGA-VS-A8EI-01,CESC,iPCSC,1.59044877634362,0.867494153755133,0.965732706296927,0.0,0.0,0.0103137244966679,0.0,0.0,0.0,0.325663931404522,0.0,0.017374634410227,0.0,0.0,0.040051592214287,0.0,0.0,0.0212170772768693,0.0,0.0918334692379116,0.0257401301512035,0.0,0.0277128200321427,0.0,0.0046318696650835,0.0360484524142259,0.0,0.110038199890006,0.0257702574782256,0.0039496972737933,0.0,0.0,0.139751526303217,0.0729383659002381,0.0469642518513787
TCGA-VS-A8EJ-01,CESC,iPCSC,1.61018677363757,0.866492076520041,0.96607005061703,0.0,0.0,0.0,0.0,0.0,0.0,0.26536861118082,0.0,0.0,0.0,0.0,0.0143574860675013,0.0,0.0,0.0092335365436096,0.0,0.0583301856979494,0.0877830806386875,0.0110461299186855,0.0290317479582556,0.0,0.0,0.0194670377136857,0.0573921283187523,0.0652102382532055,0.0447274047777268,0.0,0.0831740510183484,0.0,0.101489428825751,0.0333878829495776,0.120001050137444
TCGA-VS-A8EK-01,CESC,iPCSC,1.68311584265209,0.869643336390005,0.965988062818877,0.0,0.0,0.0074357888487033,0.0025733176702997,0.0,0.0,0.288746010228718,0.0,0.0,0.0,0.0,0.0074277561568408,0.0,0.0,0.0021785736417252,0.0,0.0718610821636234,0.0452071533656429,0.0295632376467118,0.0308102922067648,0.0,0.0,0.0121751562620521,0.0,0.144009092675561,0.003139522027868,0.0,0.0761866199627288,0.0,0.116258849954695,0.0783275044983517,0.0841000426897138
TCGA-VS-A8EL-01,CESC,iPCSC,1.73552742693715,0.868459148002628,0.965870663453172,0.0,0.0,0.0174692802041371,0.0,0.0,0.0079221712280566,0.184796077285339,0.0,0.0,0.017276859226575,0.0,0.01749227256678,0.0,0.0,0.0263052155086378,0.0,0.0638579607620023,0.0529106541460116,0.0226801864333228,0.0819844246860828,0.0061798315853097,0.0,0.029333909276349,0.0,0.136865840591563,0.0285931472917469,0.0,0.0,0.0,0.174901758296431,0.0842381305364945,0.0471922803751611
TCGA-VS-A8Q8-01,CESC,iPCSC,1.7422461082537,0.867835242021638,0.965073701423189,0.0,0.0,0.0119463508965824,0.0274954737313006,0.0,0.0,0.283387931952987,0.0,0.0,0.0,0.0,0.0306975052643548,0.0,0.0,0.0072191001204448,0.0,0.0806002084196768,0.0555626403878331,0.018479165963094,0.0412760345481065,0.0,0.0141254105263706,0.0,0.0,0.146286580591262,0.0064772451126402,0.0,0.0072464631175946,0.0,0.146650319590168,0.0696568182348916,0.0528927515426922
TCGA-VS-A8Q9-01,CESC,iPCSC,1.67539633061871,0.871226318504307,0.96612698982781,0.0171169802162533,0.0,0.0,0.0044909113040538,0.0,0.0,0.141715077814268,0.0,0.222139937349384,0.0,0.0,0.022504110484849,0.0,0.0,0.0,0.0,0.0544884767920252,0.0269507301899064,0.0,0.0067794769137145,0.0077149947797476,0.0146272588386331,0.0300573157025252,0.0,0.0753859173820747,0.0253614957419156,0.0,0.0691645223920708,0.0,0.120141687104123,0.0420258677212867,0.11933523927317
TCGA-VS-A8QA-01,CESC,ECSC,1.86946284331987,0.869113149188272,0.966060490872406,0.0220313416176673,0.0,0.0019668908195526,0.0,0.0,0.0,0.41555082969932,0.0,0.0,0.0,0.0,0.0,0.0,0.0159672068807581,0.0,0.0,0.0476277766078916,0.0490451455095551,0.004381781616231,0.0445148030722213,0.0,0.0,0.0622714854649687,0.0,0.0746445843441848,0.0,0.0,0.0571904529582981,0.0040052077168943,0.0845188866075757,0.0220206951879278,0.0942629118969538
