Core_Human,PrC_Human,Myc_Human,Borac_TF,Borac_ES2,Merged
,,,,,C14orf115
,,,,,MCM10
,,,,,CXorf15
,,,,,PRDM14
,,,,,ISG20L1
,,,,,DBNDD1
,,,,,DCC1
,,,,,LIN28
,,,,,ABHD9
,,,,,NANOG
,,,,,CD34
,,,,,CD38
,,,,,CD44
,,,,,CD47
,,,,,CD96
,,,,,KIT
,,,,,IL3RA
,,,,,BMI1
,,,,,MYC
,,,,,POU5F1
,,,,,KLF4
,,,,,SALL4
,,,,,HAVCR2
,,,,,ALDH1A1
,,,,,CD47
,,,,,CD44
,,,,,CEACAM6
,,,,,POU5F1
,,,,,ALDH1A1
,,,,,ITGA6
,,,,,CD24
,,,,,CD44
,,,,,PROM1
,,,,,THY1
,,,,,EPCAM
,,,,,CXCR4
,,,,,CXCR1
,,,,,BMI1
,,,,,MYC
,,,,,SOX2
,,,,,KLF4
,,,,,NANOG
,,,,,SALL4
,,,,,ALDH1A1
,,,,,ALCAM
,,,,,CD24
,,,,,CD44
,,,,,PROM1
,,,,,DPP4
,,,,,ITGB1
,,,,,LGR5
,,,,,EPCAM
,,,,,BMI1
,,,,,MSI1
,,,,,MYC
,,,,,NANOG
,,,,,SALL4
,,,,,ALDH1A1
,,,,,CD44
,,,,,FUT4
,,,,,LGR5
,,,,,ITGA6
,,,,,CD44
,,,,,PROM1
,,,,,FUT4
,,,,,THY1
,,,,,CXCR4
,,,,,CX3CR1
,,,,,NES
,,,,,MSI1
,,,,,MYC
,,,,,SOX2
,,,,,ALDH1A1
,,,,,CD44
,,,,,LGR5
,,,,,BMI1
,,,,,PTPRC
,,,,,CD24
,,,,,PROM1
,,,,,ANPEP
,,,,,THY1
,,,,,ANPEP
,,,,,SOX2
,,,,,NANOG
,,,,,SALL4
,,,,,ALDH1A1
,,,,,PROM1
,,,,,THY1
,,,,,KIT
,,,,,EPCAM
,,,,,SOX2
,,,,,NGFR
,,,,,PROM1
,,,,,ALCAM
,,,,,NES
,,,,,CD27
,,,,,CD38
,,,,,MS4A1
,,,,,CD19
,,,,,SDC1
,,,,,CD44
,,,,,NES
,,,,,ENG
,,,,,CD24
,,,,,CD44
,,,,,PROM1
,,,,,KIT
,,,,,POU5F1
,,,,,NANOG
,,,,,SALL4
,,,,,ALDH1A1
,,,,,CD24
,,,,,CD44
,,,,,PROM1
,,,,,EPCAM
,,,,,CXCR4
,,,,,BMI1
,,,,,NES
,,,,,MYC
,,,,,POU5F1
,,,,,ALDH1A1
,,,,,ITGA6
,,,,,CD151
,,,,,CD44
,,,,,PROM1
,,,,,ALCAM
,,,,,PODXL
,,,,,ALCAM
,,,,,BMI1
,,,,,MYC
,,,,,SOX2
,,,,,POU5F1
,,,,,KLF4
,,,,,NANOG
,,,,,SALL4
,,,,,ZFP42
